#,Brand,Industry,Times Advertised,Unique Profiles,Decision Maker,Role,Email,Influencer1,Role,Email,Influencer2,Role,Email,Influencer3,Role,Email,Influencer4,Role,Email,Variants Merged,All Variants
1.0,L'Oréal Paris,Beauty,1758.0,751.0,,,,,,,,,,,,,,,,18.0,L'Or | L'Oreal | L'Oreal Paris (Elvive) | L'Oréal Elvive | L'Oréal Group | L'Oréal Groupe | L'Oréal Men Expert | L'Oréal Paris | L'Oréal Paris Elvive | L'Oréal Paris Men Expert | L'Oréal Paris Men Expert Barber Club | L'Oréal Professional | L'Oréal Professionnel | L'Oréal Professionnel Paris | L'Oréal Professionnel SteamPod 4 | L'Oréal Professionnel Steampod | L’Oréal Paris | L’Oréal Professionnel
2.0,bwin,Entertainment,1705.0,75.0,,,,,,,,,,,,,,,,18.0,"SPOR FM 946 | SPORT24 | Spor FM | Spor FM 94.6 | SporFM 946 | Sport FM | Sport FM 94.6 | Sport-FM 94.6 | Sport24 / ANT1 Media Lab | Sportal.gr | bwin | bwinΣΠΟΡ FM | bwinΣΠΟΡ FM 94,6 | bwinΣΠΟΡ FM 94.6 | ΣΠΟΡ FM | ΣΠΟΡ FM (Spor FM) | ΣΠΟΡ FM 94,6 | ΣΠΟΡ FM 94.6"
3.0,Alpha TV,Entertainment,1626.0,69.0,,,,,,,,,,,,,,,,8.0,Alpha TV | Alpha TV / Agios Erotas | Alpha TV / Alpha News | Alpha TV / Happy Day | Alpha TV / Oikogeneiakes Istories | Alpha TV / Porto Leone | Alpha TV / Porto Leone (TV Series) | Alpha TV Greece
4.0,Heaven Music,Music,1477.0,52.0,,,,,,,,,,,,,,,,2.0,Heaven Music | Heaven Music / Johanna
5.0,Stoiximan,Gambling / Sports Betting,1462.0,131.0,,,,,,,,,,,,,,,,10.0,Stoixima | Stoixima / Stoiximaview | Stoixima View | Stoixima.gr | StoiximaView.gr | Stoiximan | Stoiximan AegeanBall Festival | Stoiximan GBL | Stoiximan.gr | Stoiximaview
6.0,Temu,Beauty,1455.0,354.0,,,,,,,,,,,,,,,,1.0,
7.0,Sephora,Beauty,1348.0,396.0,Maria Sotiriou,Head of Commercial Strategy & Selective Market,,Eirini Ioannou,Head of Ecommerce and Growth,,Linia Griva,Media and Advertising Manager,,Maria Simnianaki,PR & Social Media Specialist,,,,,3.0,Sephora | Sephora Collection | Sephora Greece
8.0,Maybelline,Beauty,1238.0,504.0,,,,,,,,,,,,,,,,3.0,Maybelline | Maybelline NY | Maybelline New York
9.0,myastro.gr,Astrology,1172.0,64.0,,,,,,,,,,,,,,,,35.0,ASTRA | ASTRA (Astrology Service) | ASTRA (myastro.gr) | ASTRA / Myastro.gr | Astra Make-up | Christos Douvlis | Christos Douvlis / myastro.gr | Christos Douvlis Astrological Service | Christos Douvlis Astrological Services | Christos Douvlis Astrology Consultation | Christos Douvlis Astrology Service | Christos Douvlis Astrology Services | My Astro | My Astro / Axiothea | Myastro | Myastro.gr / Christos Douvlis | Tasos Douvlis / MyAstro.gr | Tassos Douvlis / MyAstro.gr | myastro.gr | myastro.gr (Astrology Service) | myastro.gr (Astrology consultation service) | myastro.gr (Christos Douvlis) | myastro.gr / ASTRA | myastro.gr / Christos Douvlis Astrology Service | myastro.gr / Premium Astrology Service | myastro.gr / Χρίστος Ντούβλης | myastro.gr Astrology Service | Αξιοθέα / myastro.gr | ΝΤΟΥΒΛΗΣ (Douvlis) / myastro.gr | ΝΤΟΥΒΛΗΣ / myastro.gr | Τάσος Ντούβλης (Tassos Douvlis) / MyAstro.gr | Χρίστος Ντούβλης | Χρίστος Ντούβλης / Myastro.gr | Χρίστος Ντούβλης Astrological Services | Χρίστος Ντούβλης Astrology Service
10.0,La Roche-Posay,Beauty,1046.0,198.0,,,,,,,,,,,,,,,,3.0,La Roche Posay | La Roche-Posay | La Roche-Posay Anthelios
