brand_name,industry,times_advertised,linkedin_slug,domain,google_url
bwin,Entertainment,1705,,,https://www.google.com/search?q=bwin%20official%20website%20Greece
Sephora,Beauty,1348,sephora,,https://www.google.com/search?q=Sephora%20official%20website%20Greece
myastro.gr,Astrology,1172,,,https://www.google.com/search?q=myastro.gr%20official%20website%20Greece
Myprotein,Fitness,982,,,https://www.google.com/search?q=Myprotein%20official%20website%20Greece
adidas,Apparel,883,,,https://www.google.com/search?q=adidas%20official%20website%20Greece
GymBeam,Fitness,803,,,https://www.google.com/search?q=GymBeam%20official%20website%20Greece
MUA Makeup Academy,Beauty,773,mua-makeup-academy,,https://www.google.com/search?q=MUA%20Makeup%20Academy%20official%20website%20Greece
Decoro,Fashion,747,,,https://www.google.com/search?q=Decoro%20official%20website%20Greece
Emmanouela Cosmetics,Beauty,698,,,https://www.google.com/search?q=Emmanouela%20Cosmetics%20official%20website%20Greece
Dior,Fashion,676,,,https://www.google.com/search?q=Dior%20official%20website%20Greece
DFYNE,Fashion,671,,,https://www.google.com/search?q=DFYNE%20official%20website%20Greece
About You,Fashion,661,,,https://www.google.com/search?q=About%20You%20official%20website%20Greece
Judah Club,Fashion,640,,,https://www.google.com/search?q=Judah%20Club%20official%20website%20Greece
Herbalife,Nutrition,567,herbalife-nutrition,,https://www.google.com/search?q=Herbalife%20official%20website%20Greece
Palaiopwleio Parelthon,Retail / Antiques,557,,,https://www.google.com/search?q=Palaiopwleio%20Parelthon%20official%20website%20Greece
Nike,Fashion,530,,,https://www.google.com/search?q=Nike%20official%20website%20Greece
Sfera 102.2,Media / Radio Broadcasting,512,,,https://www.google.com/search?q=Sfera%20102.2%20official%20website%20Greece
Trendyol,Fashion,502,,,https://www.google.com/search?q=Trendyol%20official%20website%20Greece
Elixir Makeup,Beauty,480,,,https://www.google.com/search?q=Elixir%20Makeup%20official%20website%20Greece
Oroskopos.gr,Astrology,469,,,https://www.google.com/search?q=Oroskopos.gr%20official%20website%20Greece
PoliPink,Beauty,458,,,https://www.google.com/search?q=PoliPink%20official%20website%20Greece
Shein,E-commerce,421,,,https://www.google.com/search?q=Shein%20official%20website%20Greece
Novasports,Broadcasting,412,,,https://www.google.com/search?q=Novasports%20official%20website%20Greece
Huda Beauty,Beauty,411,hudabeauty,,https://www.google.com/search?q=Huda%20Beauty%20official%20website%20Greece
